边 : 卖 0 | 迷 1 | 亮 2 | 屋 3 | 盖 4 | 衣 5 | 举 6 | 昌 7 | 房 8 | 患 9 | 癌 10 | 症 11 | 瓜 12 | 伤 13 | 净 14 | 池 15 | 冒 16 | 伸 17 | 征 18 | 腾 19 | 

狡 : 酥 0 | 虔 1 | 恬 2 | 蚌 3 | 刨 4 | 沁 5 | 矫 6 | 侮 7 | 凛 8 | 琉 9 | 颐 10 | 澎 11 | 氯 12 | 侄 13 | 皱 14 | 咆 15 | 刁 16 | 榨 17 | 锄 18 | 梳 19 | 

旁 : 宪 0 | 戚 1 | 骤 2 | 璐 3 | 丈 4 | 芭 5 | 屏 6 | 暇 7 | 盏 8 | 睹 9 | 郅 10 | 镌 11 | 娅 12 | 稽 13 | ─ 14 | 叫 15 | 蔼 16 | 铢 17 | 楷 18 | 锲 19 | 

汗 : 姐 0 | 帽 1 | 拳 2 | 茶 3 | 斑 4 | 披 5 | 畜 6 | 欲 7 | 滴 8 | 夹 9 | 苍 10 | 昭 11 | 颜 12 | 寺 13 | 逊 14 | 赣 15 | 暗 16 | 灿 17 | 磨 18 | 屯 19 | 

砭 : 淅 0 | 戛 1 | 嘶 2 | 罔 3 | 玷 4 | 嗅 5 | 糯 6 | 赳 7 | 偕 8 | 丐 9 | 濮 10 | 炖 11 | 匣 12 | 荤 13 | 镍 14 | 妖 15 | 芷 16 | 徨 17 | 狡 18 | 觞 19 | 

昶 : 钰 0 | 淆 1 | 燮 2 | 钠 3 | 熹 4 | 葩 5 | 珩 6 | 簧 7 | 娣 8 | 啪 9 | 茸 10 | 炖 11 | 簌 12 | 痫 13 | 羌 14 | 镛 15 | 禧 16 | 匣 17 | 垢 18 | 嵘 19 | 

阂 : 偎 0 | 孢 1 | 葩 2 | 怅 3 | 捺 4 | 迤 5 | 啪 6 | 吭 7 | 娣 8 | 簌 9 | 鸫 10 | 徨 11 | 镛 12 | 屉 13 | 喋 14 | 囡 15 | 峋 16 | 粱 17 | 惭 18 | 濮 19 | 

李 : 陈 0 | 李 1 | 董 2 | 黑 3 | 亚 4 | 德 5 | 贝 6 | 社 7 | 伊 8 | 魏 9 | 挑 10 | 汽 11 | 瓦 12 | 龚 13 | 曼 14 | 宗 15 | 湖 16 | 圣 17 | 洛 18 | 遗 19 | 

蜕 : 萋 0 | 惋 1 | 囿 2 | 吭 3 | 诙 4 | 亵 5 | 舅 6 | 厮 7 | 汩 8 | 拴 9 | 铿 10 | 篝 11 | 铱 12 | 恬 13 | 侄 14 | 赡 15 | 琉 16 | 怅 17 | 梓 18 | 怦 19 | 

祠 : 抠 0 | 檀 1 | 瀛 2 | 姬 3 | 瞪 4 | 粽 5 | 胺 6 | 擎 7 | 嘘 8 | 褥 9 | 钵 10 | 唁 11 | 炙 12 | 狸 13 | 蛀 14 | 毡 15 | 萋 16 | 蠢 17 | 泾 18 | 匀 19 | 

窿 : 胺 0 | 裳 1 | 狸 2 | 崽 3 | 擎 4 | 钵 5 | 嘘 6 | 唁 7 | 婷 8 | 毡 9 | 迩 10 | 垢 11 | 媲 12 | 檀 13 | 禺 14 | 簧 15 | 墒 16 | 梓 17 | 褥 18 | 淆 19 | 

擎 : 吭 0 | 惋 1 | 萋 2 | 怅 3 | 囡 4 | 孢 5 | 亵 6 | 偎 7 | 厮 8 | 篝 9 | 啪 10 | 铿 11 | 囿 12 | 墒 13 | 舅 14 | 汩 15 | 奚 16 | 喋 17 | 梓 18 | 窨 19 | 

竣 : 沪 0 | 蕴 1 | 帅 2 | 倦 3 | 勉 4 | 茫 5 | 呵 6 | 侦 7 | 酝 8 | 遂 9 | 俺 10 | 赋 11 | 宠 12 | 猖 13 | 墅 14 | 冶 15 | 祈 16 | 襄 17 | 崭 18 | 觅 19 | 

攀 : 酝 0 | 沪 1 | 襄 2 | 呵 3 | 帅 4 | 崭 5 | 赋 6 | 猖 7 | 鲍 8 | 蕴 9 | 遂 10 | 斡 11 | 侦 12 | 宠 13 | 倦 14 | 慷 15 | 祈 16 | 敖 17 | 冶 18 | 俺 19 | 

韦 : 罐 0 | 焰 1 | 薪 2 | 钊 3 | 帅 4 | 躯 5 | 枢 6 | 彬 7 | 霖 8 | 楠 9 | 萃 10 | 蕴 11 | 涅 12 | 磁 13 | 攒 14 | 彦 15 | 瓣 16 | 呵 17 | 翰 18 | 斧 19 | 

拘 : 帅 0 | 呵 1 | 宠 2 | 聂 3 | 驿 4 | 朔 5 | 蕴 6 | 骆 7 | 霖 8 | 崎 9 | 酱 10 | 斩 11 | 祈 12 | 擂 13 | 墅 14 | 峭 15 | 逗 16 | 钊 17 | 迢 18 | 钮 19 | 

炫 : 撩 0 | 篝 1 | 惭 2 | 喋 3 | 邬 4 | 剽 5 | 孢 6 | 怅 7 | 窨 8 | 惋 9 | 鸫 10 | 亵 11 | 涿 12 | 蚂 13 | 耄 14 | 啪 15 | 糯 16 | 铧 17 | 狡 18 | 迤 19 | 

孕 : 咐 0 | 呵 1 | 觅 2 | 攒 3 | 霖 4 | 驿 5 | 钊 6 | 瓣 7 | 宠 8 | 斩 9 | 蕴 10 | 墅 11 | 楠 12 | 兮 13 | 崎 14 | 媛 15 | 迢 16 | 薪 17 | 榻 18 | 峭 19 | 

殉 : 惋 0 | 亵 1 | 怅 2 | 铿 3 | 舅 4 | 篝 5 | 诙 6 | 孢 7 | 厮 8 | 啪 9 | 梓 10 | 墒 11 | 喋 12 | 怦 13 | 邬 14 | 撩 15 | 囡 16 | 窨 17 | 惭 18 | 铱 19 | 

沾 : 呵 0 | 霖 1 | 罐 2 | 驿 3 | 彬 4 | 酱 5 | 聂 6 | 鲍 7 | 敖 8 | 猖 9 | 斧 10 | 崎 11 | 朔 12 | 卒 13 | 涅 14 | 磁 15 | 斩 16 | 擂 17 | 迢 18 | 宠 19 | 

匣 : 孢 0 | 鸫 1 | 捺 2 | 葩 3 | 徨 4 | 怅 5 | 喋 6 | 娣 7 | 簌 8 | 狡 9 | 屉 10 | 迤 11 | 啪 12 | 惭 13 | 糯 14 | 窨 15 | 峋 16 | 撩 17 | 睬 18 | 镛 19 | 

媛 : 梓 0 | 桓 1 | 榴 2 | 驹 3 | 馁 4 | 髦 5 | 拌 6 | 膛 7 | 帧 8 | 粱 9 | 珀 10 | 氯 11 | 恤 12 | 甬 13 | 囡 14 | 铿 15 | 舅 16 | 侗 17 | 烷 18 | 蚌 19 | 

斧 : 萃 0 | 楠 1 | 媛 2 | 忱 3 | 纂 4 | 咐 5 | 瓣 6 | 兮 7 | 霖 8 | 冕 9 | 娅 10 | 跤 11 | 啸 12 | 驿 13 | 钊 14 | 斩 15 | 眶 16 | 钮 17 | 拌 18 | 斧 19 | 

掺 : 祈 0 | 骆 1 | 朔 2 | 栩 3 | 墅 4 | 宠 5 | 逗 6 | 孵 7 | 窘 8 | 聂 9 | 谆 10 | 柑 11 | 皱 12 | 焉 13 | 颐 14 | 崎 15 | 摒 16 | 酱 17 | 诠 18 | 蚊 19 | 

淤 : 夷 0 | 绎 1 | 罐 2 | 淌 3 | 阀 4 | 彬 5 | 焰 6 | 萃 7 | 冀 8 | 缠 9 | 崖 10 | 柯 11 | 磁 12 | 枢 13 | 垒 14 | 拾 15 | 杉 16 | 弦 17 | 巍 18 | 霖 19 | 

▲ : 臃 0 | 坞 1 | 贻 2 | 榴 3 | 陲 4 | 钮 5 | 梓 6 | 瓣 7 | 桓 8 | 斩 9 | 帧 10 | 恤 11 | 跤 12 | 驹 13 | 珀 14 | 拌 15 | 氯 16 | 髦 17 | 甬 18 | 拴 19 | 

粪 : 斩 0 | 皱 1 | 沁 2 | 贻 3 | 焉 4 | 酱 5 | 逗 6 | 颐 7 | 恬 8 | 凛 9 | 孵 10 | 谆 11 | 梳 12 | 氯 13 | 骆 14 | 掺 15 | 蚊 16 | 钮 17 | 刁 18 | 蚌 19 | 

荫 : 蜂 0 | 抖 1 | 赃 2 | 稚 3 | 冀 4 | 缠 5 | 硫 6 | 拾 7 | 婉 8 | 琢 9 | 阀 10 | 扇 11 | 巍 12 | 翩 13 | 芒 14 | 饿 15 | 霖 16 | 匙 17 | 呵 18 | 愤 19 | 

技 : 债 0 | 卫 1 | 商 2 | 任 3 | 运 4 | 宪 5 | 轨 6 | 语 7 | 演 8 | 杂 9 | 价 10 | 忧 11 | 弟 12 | 课 13 | 故 14 | 赈 15 | 班 16 | 脉 17 | 袭 18 | 稽 19 | 

带 : 奔 0 | 宽 1 | 涉 2 | 叫 3 | 夏 4 | 慰 5 | 扭 6 | 滑 7 | 偏 8 | 嫌 9 | 阴 10 | 忧 11 | 缔 12 | 赈 13 | 崭 14 | 懂 15 | 骤 16 | 茫 17 | 落 18 | 仿 19 | 

ｅ : 磅 0 | 婉 1 | 刹 2 | 扇 3 | 盏 4 | 瞻 5 | 墅 6 | 忌 7 | 栖 8 | 玫 9 | 栩 10 | 赃 11 | 糟 12 | 跻 13 | 骆 14 | 巍 15 | 倦 16 | 峙 17 | 祈 18 | 朔 19 | 

特 : 农 0 | 专 1 | 鼓 2 | 特 3 | 欢 4 | 课 5 | 防 6 | 遵 7 | 阶 8 | 文 9 | 认 10 | 语 11 | 卫 12 | 投 13 | 安 14 | 邀 15 | 运 16 | 踊 17 | 价 18 | 伟 19 | 

河 : 路 0 | 洛 1 | 车 2 | 围 3 | 瓦 4 | 弟 5 | 卫 6 | 藏 7 | 贝 8 | 曼 9 | 奇 10 | 瑞 11 | 士 12 | 耶 13 | 西 14 | 伟 15 | 洪 16 | 杂 17 | 玛 18 | 伯 19 | 

墒 : 楣 0 | 觞 1 | 盹 2 | 钒 3 | 糅 4 | 荤 5 | 陛 6 | 菩 7 | 撷 8 | 稣 9 | 轶 10 | 珲 11 | → 12 | 妓 13 | 噜 14 | 燧 15 | 偕 16 | 嗅 17 | 诧 18 | 邕 19 | 

啸 : 榴 0 | 跤 1 | 臃 2 | 陲 3 | 馁 4 | 坞 5 | 膛 6 | 帧 7 | 瓣 8 | 髦 9 | 桓 10 | 炜 11 | 梓 12 | 贻 13 | 邃 14 | 滦 15 | 钮 16 | 酵 17 | 粱 18 | 恤 19 | 

增 : 农 0 | 运 1 | 文 2 | 安 3 | 防 4 | 价 5 | 卫 6 | 投 7 | 任 8 | 课 9 | 债 10 | 专 11 | 货 12 | 商 13 | 班 14 | 演 15 | 仪 16 | 服 17 | 伟 18 | 宗 19 | 

ｖ : 诧 0 | 葩 1 | 轶 2 | 盹 3 | 觞 4 | 鹜 5 | 炖 6 | 腆 7 | 赳 8 | 睬 9 | 聩 10 | 戛 11 | 芷 12 | 罔 13 | 羹 14 | 熹 15 | 宓 16 | 胤 17 | 稣 18 | 娣 19 | 

巍 : 驿 0 | 霖 1 | 酱 2 | 崎 3 | 斩 4 | 聂 5 | 朔 6 | 钮 7 | 迢 8 | 骆 9 | 宠 10 | 擂 11 | 娅 12 | 涅 13 | 皱 14 | 祈 15 | 颐 16 | 钊 17 | 焉 18 | 兮 19 | 

夷 : 瓣 0 | 钮 1 | 榴 2 | 坞 3 | 斩 4 | 兮 5 | 陲 6 | 跤 7 | 臃 8 | 拌 9 | 贻 10 | 驿 11 | 恤 12 | 媛 13 | 娅 14 | 桓 15 | 梓 16 | 忱 17 | 崎 18 | 楠 19 | 

陲 : 蠢 0 | 岔 1 | 贻 2 | 疤 3 | 祠 4 | 挟 5 | 哇 6 | 澎 7 | 炙 8 | 臃 9 | 痰 10 | 倚 11 | 拴 12 | 峭 13 | 锄 14 | 矫 15 | 氯 16 | 酥 17 | 梓 18 | 坞 19 | 

葆 : 坞 0 | 拌 1 | 兮 2 | 陲 3 | 榴 4 | 斩 5 | 驹 6 | 桓 7 | 驿 8 | 娅 9 | 钮 10 | 梓 11 | 媛 12 | 拴 13 | 湃 14 | 贻 15 | 崎 16 | 瓣 17 | 跤 18 | 忱 19 | 

活 : 涉 0 | 宽 1 | 落 2 | 夏 3 | 回 4 | 奔 5 | 叫 6 | 懂 7 | 偏 8 | 幸 9 | 忧 10 | 尊 11 | 夕 12 | 慰 13 | 缔 14 | 截 15 | 扭 16 | 约 17 | 妈 18 | 参 19 | 

秋 : 赈 0 | 滑 1 | 茶 2 | 侦 3 | 戏 4 | 霍 5 | 寺 6 | 崭 7 | 宪 8 | 蓬 9 | 羽 10 | 嫌 11 | 猖 12 | 陪 13 | 慷 14 | 盗 15 | 邯 16 | 冶 17 | 丈 18 | 襄 19 | 

此 : 忧 0 | 轨 1 | 宪 2 | 约 3 | 债 4 | 弟 5 | 昂 6 | 卫 7 | 册 8 | 赈 9 | 故 10 | 毅 11 | 脉 12 | 蕴 13 | 阵 14 | 淹 15 | 衷 16 | 屏 17 | 课 18 | 灌 19 | 

杂 : 踪 0 | 薪 1 | 耗 2 | 揽 3 | 昂 4 | 桩 5 | 叹 6 | 饱 7 | 孕 8 | 躯 9 | 彦 10 | 翼 11 | 巧 12 | 忧 13 | 蕴 14 | 脉 15 | 翰 16 | 淀 17 | 炳 18 | 焰 19 | 

鼓 : 戏 0 | 宗 1 | 踊 2 | 菲 3 | 饲 4 | 覆 5 | 欢 6 | 课 7 | 稽 8 | 灌 9 | 俱 10 | 袭 11 | 哲 12 | 宪 13 | 仪 14 | 圣 15 | 屏 16 | 蓬 17 | 卫 18 | 赈 19 | 

西 : 洛 0 | 西 1 | 卫 2 | 头 3 | 瑞 4 | 弟 5 | 围 6 | 藏 7 | 树 8 | 路 9 | 袭 10 | 河 11 | 灌 12 | 华 13 | 铁 14 | 贝 15 | 瓦 16 | 奇 17 | 盗 18 | 车 19 | 

冤 : 薪 0 | 攒 1 | 蕴 2 | 焰 3 | 楠 4 | 钊 5 | 躯 6 | 觅 7 | 冕 8 | 霖 9 | 纂 10 | 帘 11 | 枢 12 | 忱 13 | 桩 14 | 孕 15 | 媛 16 | 啸 17 | 翰 18 | 斧 19 | 

缆 : 焰 0 | 眶 1 | 忱 2 | 躯 3 | 啸 4 | 冕 5 | 楠 6 | 枢 7 | 纂 8 | 薪 9 | 帘 10 | 彬 11 | 媛 12 | 霖 13 | 筝 14 | 钊 15 | 斧 16 | 畴 17 | 娅 18 | 兮 19 | 

募 : 猖 0 | 蕴 1 | 遂 2 | 冶 3 | 侦 4 | 襄 5 | 斡 6 | 祈 7 | 鲍 8 | 勉 9 | 赋 10 | 聂 11 | 骆 12 | 墅 13 | 孵 14 | 酱 15 | 皱 16 | 柑 17 | 俺 18 | 掺 19 | 

滔 : 霖 0 | 酱 1 | 聂 2 | 斩 3 | 斧 4 | 迢 5 | 彬 6 | 猖 7 | 娅 8 | 骆 9 | 祈 10 | 钮 11 | 蚊 12 | 皱 13 | 擂 14 | 颐 15 | 敖 16 | 涅 17 | 谆 18 | 焉 19 | 

嘶 : 撇 0 | 糠 1 | 荤 2 | 嗅 3 | 掰 4 | 叽 5 | 辫 6 | 蹭 7 | 戛 8 | 偕 9 | 觞 10 | 糅 11 | 孽 12 | 阙 13 | 淅 14 | 砭 15 | 臼 16 | 漱 17 | 嘶 18 | 玷 19 | 

芸 : 盹 0 | 菩 1 | 珲 2 | 噜 3 | 妓 4 | 胤 5 | 羹 6 | 撷 7 | 妖 8 | 狞 9 | 睬 10 | 邕 11 | 浜 12 | 诋 13 | 莒 14 | 腆 15 | 柩 16 | ━ 17 | 锏 18 | 糯 19 | 

鲟 : 妖 0 | 糯 1 | 惭 2 | 喋 3 | 狡 4 | 铧 5 | 羹 6 | 簌 7 | 枇 8 | 娣 9 | 佟 10 | 猕 11 | 腆 12 | 胥 13 | 翌 14 | 剽 15 | 峋 16 | 睬 17 | 跚 18 | 啪 19 | 

憾 : 馈 0 | 淀 1 | 踪 2 | 帘 3 | 筝 4 | 冕 5 | 焰 6 | 薪 7 | 啸 8 | 叹 9 | 桩 10 | 揽 11 | 耗 12 | 纂 13 | 炳 14 | 楠 15 | 蕉 16 | 眶 17 | 叉 18 | 忱 19 | 

蕴 : 襄 0 | 蕴 1 | 茫 2 | 崭 3 | 赋 4 | 鲍 5 | 遂 6 | 侦 7 | 敖 8 | 祈 9 | 斡 10 | 霖 11 | 俺 12 | 墅 13 | 勉 14 | 聂 15 | 皱 16 | 羽 17 | 迢 18 | 骆 19 | 

渑 : 亳 0 | 酉 1 | 笪 2 | 靓 3 | 骡 4 | 麒 5 | 逅 6 | 颍 7 | 蓦 8 | 踉 9 | 勐 10 | 泔 11 | 酚 12 | 莨 13 | 畿 14 | 榛 15 | 蓿 16 | 俐 17 | 旖 18 | 梏 19 | 

讲 : 宽 0 | 遵 1 | 赈 2 | 扭 3 | 仿 4 | 偏 5 | 哲 6 | 宪 7 | 滑 8 | 柬 9 | 奔 10 | 崭 11 | 陪 12 | 宗 13 | 覆 14 | 丈 15 | 忧 16 | 戏 17 | 课 18 | 稽 19 | 

连 : 欢 0 | 宗 1 | 覆 2 | 遵 3 | 戏 4 | 柬 5 | 菲 6 | 饲 7 | 铁 8 | 踊 9 | 滑 10 | 讲 11 | 丈 12 | 稽 13 | 俱 14 | 哲 15 | 宽 16 | 圣 17 | 黑 18 | 课 19 | 

鲲 : 诋 0 | 莒 1 | ━ 2 | 珲 3 | 摈 4 | 猥 5 | 栀 6 | 蜻 7 | 噜 8 | 佟 9 | 浜 10 | 猕 11 | 峥 12 | 狰 13 | 翌 14 | 俳 15 | 胤 16 | 骡 17 | 徨 18 | 酚 19 | 

臼 : 胤 0 | 腆 1 | 狞 2 | 羹 3 | 噜 4 | 锏 5 | 盹 6 | 珲 7 | 妖 8 | 撷 9 | 聩 10 | 妓 11 | 菩 12 | 邕 13 | 徨 14 | 睬 15 | 浜 16 | 搐 17 | 葩 18 | 糯 19 | 

继 : 专 0 | 课 1 | 遵 2 | 欢 3 | 文 4 | 防 5 | 宗 6 | 鼓 7 | 特 8 | 投 9 | 菲 10 | 踊 11 | 运 12 | 污 13 | 覆 14 | 饲 15 | 稽 16 | 仪 17 | 卫 18 | 俱 19 | 

锡 : 彦 0 | 昂 1 | 缆 2 | 焰 3 | 叉 4 | 玛 5 | 畴 6 | 筝 7 | 魁 8 | 僚 9 | 淀 10 | 薪 11 | 炳 12 | 脉 13 | 弟 14 | 仲 15 | 磁 16 | 楠 17 | 桩 18 | 巧 19 | 

慨 : 耗 0 | 叹 1 | 淀 2 | 楚 3 | 袱 4 | 馈 5 | 揽 6 | 僚 7 | 醒 8 | 炳 9 | 叉 10 | 筝 11 | 饱 12 | 焰 13 | 歧 14 | 桩 15 | 彦 16 | 薪 17 | 冕 18 | 帘 19 | 

叹 : 焰 0 | 彦 1 | 薪 2 | 筝 3 | 畴 4 | 叉 5 | 魁 6 | 冕 7 | 炳 8 | 昂 9 | 楠 10 | 啸 11 | 帘 12 | 馈 13 | 缆 14 | 彬 15 | 纂 16 | 淀 17 | 枢 18 | 钊 19 | 

俐 : 菩 0 | 妓 1 | 邕 2 | 撷 3 | 柩 4 | 诋 5 | 狞 6 | 莒 7 | 烬 8 | ━ 9 | 佟 10 | 珲 11 | 盹 12 | 猥 13 | 腼 14 | 噜 15 | 猕 16 | 畿 17 | 羹 18 | 蜻 19 | 

诒 : 嗽 0 | 擘 1 | 鲢 2 | 蕤 3 | 骁 4 | 晌 5 | 邗 6 | 娲 7 | 翊 8 | 碓 9 | 崮 10 | 诏 11 | 橇 12 | 茭 13 | 焖 14 | 躏 15 | 怂 16 | 苕 17 | 琏 18 | 鲲 19 | 

丈 : 崭 0 | 陪 1 | 慷 2 | 仿 3 | 牡 4 | 遂 5 | 俺 6 | 邯 7 | 勉 8 | 昔 9 | 帷 10 | 赋 11 | 侦 12 | 鞠 13 | 斡 14 | 鲍 15 | 冶 16 | 祈 17 | 茫 18 | 苛 19 | 

披 : 慷 0 | 侦 1 | 牡 2 | 斡 3 | 邯 4 | 蓬 5 | 芭 6 | 冶 7 | 稽 8 | 鲍 9 | 踊 10 | 崭 11 | 饲 12 | 宪 13 | 鞠 14 | 陪 15 | 丈 16 | 仲 17 | 茶 18 | 盗 19 | 

冻 : 呵 0 | 沥 1 | 洽 2 | 栖 3 | 帅 4 | 霖 5 | 蕴 6 | 瞻 7 | 倦 8 | 猖 9 | 宠 10 | 驿 11 | 沪 12 | 肆 13 | 敖 14 | 彬 15 | 拣 16 | 斧 17 | 赋 18 | 迢 19 | 

饲 : 勉 0 | 侦 1 | 茫 2 | 遂 3 | 俺 4 | 祈 5 | 冶 6 | 骆 7 | 墅 8 | 苛 9 | 斡 10 | 栩 11 | 聂 12 | 觅 13 | 孵 14 | 皱 15 | 窘 16 | 谆 17 | 蚊 18 | 柑 19 | 

瑕 : 狞 0 | 俐 1 | 搐 2 | 噜 3 | 珲 4 | 酉 5 | 胤 6 | 浜 7 | 妓 8 | 莒 9 | 撷 10 | 柩 11 | 烬 12 | 逅 13 | 笪 14 | 菩 15 | ━ 16 | 骡 17 | 诋 18 | 邕 19 | 

隽 : 濮 0 | 糯 1 | 惭 2 | 喋 3 | 簌 4 | 撩 5 | 妖 6 | 孢 7 | 狡 8 | 啪 9 | 羹 10 | 娣 11 | 峋 12 | 铧 13 | 篝 14 | 鸫 15 | 睬 16 | 剽 17 | 佟 18 | 枇 19 | 

獭 : 桅 0 | 浣 1 | 龛 2 | 荥 3 | 鲟 4 | 糌 5 | 踉 6 | 犟 7 | 麒 8 | 勐 9 | 碣 10 | 颍 11 | 谕 12 | 矾 13 | 戕 14 | 辊 15 | 筵 16 | 莨 17 | 靓 18 | 蓦 19 | 

逢 : 琛 0 | 晴 1 | 豇 2 | 缳 3 | 艮 4 | 魇 5 | 鳏 6 | 溆 7 | 鼾 8 | 漕 9 | 渌 10 | 杲 11 | 慵 12 | 萸 13 | 裟 14 | 笞 15 | 琰 16 | 饬 17 | 酊 18 | 绻 19 | 

妈 : 滔 0 | 淡 1 | 烦 2 | 柔 3 | 稀 4 | 暗 5 | 漏 6 | 酿 7 | 桌 8 | 码 9 | 拳 10 | 肝 11 | 勋 12 | 幻 13 | 恒 14 | 猫 15 | 谱 16 | 喀 17 | 翠 18 | 皇 19 | 

臭 : 跫 0 | 瑁 1 | 氵 2 | 屐 3 | 蟾 4 | 蕲 5 | 鲭 6 | 璎 7 | 鳕 8 | 胛 9 | 嗟 10 | 枰 11 | 簋 12 | 倨 13 | 髋 14 | 榉 15 | 筚 16 | 鬣 17 | 氽 18 | 亍 19 | 

庵 : 匍 0 | 圄 1 | 鲈 2 | 葳 3 | 醚 4 | 诽 5 | 嗔 6 | 橇 7 | 勰 8 | 躏 9 | 孑 10 | 朊 11 | 恿 12 | 焖 13 | 苕 14 | 祢 15 | 奂 16 | 悌 17 | 幛 18 | 殍 19 | 

淀 : 叹 0 | 淀 1 | 耗 2 | 馈 3 | 叉 4 | 僚 5 | 炳 6 | 筝 7 | 揽 8 | 彦 9 | 缆 10 | 冕 11 | 薪 12 | 帘 13 | 畴 14 | 桩 15 | 楚 16 | 啸 17 | 袱 18 | 昂 19 | 

锻 : 饲 0 | 踊 1 | 稽 2 | 丈 3 | 芭 4 | 蓬 5 | 牡 6 | 宪 7 | 哲 8 | 邯 9 | 覆 10 | 乔 11 | 霍 12 | 侦 13 | 茶 14 | 菲 15 | 滑 16 | 灌 17 | 仿 18 | 冶 19 | 

耗 : 淀 0 | 叹 1 | 耗 2 | 薪 3 | 馈 4 | 揽 5 | 桩 6 | 炳 7 | 筝 8 | 帘 9 | 冕 10 | 彦 11 | 叉 12 | 躯 13 | 啸 14 | 孕 15 | 楠 16 | 昂 17 | 纂 18 | 翼 19 | 

歧 : 衷 0 | 鹅 1 | 愧 2 | 睹 3 | 饱 4 | 盼 5 | 爸 6 | 揽 7 | 逢 8 | 翼 9 | 孕 10 | 茫 11 | 桩 12 | 缔 13 | 戚 14 | 觅 15 | 薪 16 | 暇 17 | 铢 18 | 翰 19 | 

躯 : 祈 0 | 聂 1 | 酱 2 | 皱 3 | 骆 4 | 掺 5 | 焉 6 | 梳 7 | 柑 8 | 孵 9 | 逗 10 | 诠 11 | 颐 12 | 鲍 13 | 蚊 14 | 窘 15 | 斩 16 | 迢 17 | 擂 18 | 谆 19 | 

⑥ : 镣 0 | 绂 1 | 佞 2 | 肼 3 | 嫡 4 | 倭 5 | 胪 6 | 薮 7 | 阚 8 | 猗 9 | 崂 10 | 罘 11 | 鲱 12 | 罟 13 | 啭 14 | 喹 15 | 昀 16 | 腱 17 | 龉 18 | 仨 19 | 

甲 : 茫 0 | 缔 1 | 爸 2 | 昔 3 | 羽 4 | 侦 5 | 勉 6 | 俺 7 | 扭 8 | 忧 9 | 奔 10 | 嫌 11 | 慰 12 | 觅 13 | 仿 14 | 帷 15 | 敖 16 | 鹅 17 | 邯 18 | 墅 19 | 

〉 : 皱 0 | 焉 1 | 颐 2 | 凛 3 | 沁 4 | 梳 5 | 逗 6 | 窘 7 | 孵 8 | 酱 9 | 骆 10 | 刁 11 | 柑 12 | 蚊 13 | 掺 14 | 谆 15 | 蚌 16 | 侄 17 | 氯 18 | 摒 19 | 

饱 : 饱 0 | 桩 1 | 揽 2 | 薪 3 | 耗 4 | 馈 5 | 鹅 6 | 帘 7 | 孕 8 | 翼 9 | 翰 10 | 躯 11 | 冕 12 | 睹 13 | 茫 14 | 啸 15 | 筝 16 | 楚 17 | 炳 18 | 衷 19 | 

搂 : 喋 0 | 惭 1 | 篝 2 | 邬 3 | 怅 4 | 剽 5 | 啪 6 | 簌 7 | 铧 8 | 鸫 9 | 糯 10 | 迤 11 | 窨 12 | 娣 13 | 峋 14 | 妖 15 | 狡 16 | 奚 17 | 耄 18 | 枇 19 | 

楷 : 斩 0 | 贻 1 | 钮 2 | 拌 3 | 兮 4 | 颐 5 | 凛 6 | 逗 7 | 恤 8 | 沁 9 | 谆 10 | 氯 11 | 梓 12 | 焉 13 | 酱 14 | 驹 15 | 皱 16 | 榴 17 | 珀 18 | 陲 19 | 

氵 : 诘 0 | 酰 1 | 啜 2 | 魇 3 | 缳 4 | 酩 5 | 蚤 6 | 慵 7 | 煸 8 | 鏊 9 | 鹦 10 | 鳅 11 | 艮 12 | 漕 13 | 鳏 14 | 鼾 15 | 杲 16 | 碓 17 | 炀 18 | 祢 19 | 

撵 : 鸫 0 | 狡 1 | 喋 2 | 惭 3 | 捺 4 | 窨 5 | 怅 6 | 糯 7 | 徨 8 | 娣 9 | 啪 10 | 簌 11 | 葩 12 | 迤 13 | 剽 14 | 屉 15 | 篝 16 | 镛 17 | 睬 18 | 妖 19 | 

尤 : 尊 0 | 妥 1 | 截 2 | 懂 3 | 避 4 | 幸 5 | 尤 6 | 促 7 | 宽 8 | 敢 9 | 琛 10 | 扭 11 | 仿 12 | 浙 13 | 昔 14 | 邀 15 | 偏 16 | 既 17 | 夕 18 | 柬 19 | 

禁 : 嫌 0 | 滑 1 | 茶 2 | 屏 3 | 灌 4 | 奔 5 | 仿 6 | 霍 7 | 侦 8 | 芭 9 | 圣 10 | 蓬 11 | 牡 12 | 宪 13 | 淹 14 | 冶 15 | 邯 16 | 帷 17 | 慰 18 | 稽 19 | 

惭 : 惭 0 | 喋 1 | 糯 2 | 篝 3 | 剽 4 | 怅 5 | 铧 6 | 狡 7 | 窨 8 | 邬 9 | 妖 10 | 耄 11 | 簌 12 | 啪 13 | 峋 14 | 迤 15 | 佟 16 | 猕 17 | 徨 18 | 娣 19 | 

逅 : 烬 0 | 逅 1 | 笪 2 | 酚 3 | 酉 4 | 莒 5 | 柩 6 | ━ 7 | 靓 8 | 酗 9 | 踉 10 | 亳 11 | 骡 12 | 戥 13 | 榛 14 | 妓 15 | 谤 16 | 浜 17 | 颍 18 | 昱 19 | 

