<unk>591 : 卖 0 | 迷 1 | 亮 2 | 
<unk>1,131 : 玛 0 | 弹 1 | 灌 2 | 

<unk>4,488 : 靓 0 | 酉 1 | 颍 2 | 

<unk>2,883 : 扒 0 | 皱 1 | 掺 2 | 

<unk>2,880 : 瞄 0 | 拣 1 | 峙 2 | 

<unk>2,886 : 碟 0 | 纂 1 | 啸 2 | 

<unk>2,889 : 拣 0 | 峙 1 | 谆 2 | 

<unk>4,656 : 肼 0 | 暌 1 | 槎 2 | 

<unk>1,005 : 扭 0 | 涉 1 | 宽 2 | 

<unk>4,650 : 湄 0 | 唉 1 | 邈 2 | 

<unk>4,653 : 谤 0 | 挛 1 | 铣 2 | 

<unk>1,008 : 侦 0 | 嫌 1 | 忧 2 | 

<unk>4,659 : 鲲 0 | 昱 1 | 骁 2 | 

<unk>3,924 : 陨 0 | 眩 1 | 钠 2 | 

<unk>3,927 : 轼 0 | 岷 1 | 盹 2 | 

<unk>3,921 : 徨 0 | 鹜 1 | 狡 2 | 

<unk>1,221 : 垃 0 | 覆 1 | 仿 2 | 

<unk>2,841 : 玫 0 | 酱 1 | 崎 2 | 

<unk>1,224 : 旁 0 | 脉 1 | 洽 2 | 

<unk>1,227 : 横 0 | 赋 1 | 慰 2 | 

<unk>3,456 : 婷 0 | 墒 1 | 吭 2 | 

<unk>3,450 : 矫 0 | 囿 1 | 倚 2 | 

<unk>3,453 : 萋 0 | 矫 1 | 蚌 2 | 

<unk>3,459 : 酥 0 | 虔 1 | 恬 2 | 

<unk>1,470 : 盼 0 | 戚 1 | 骤 2 | 

<unk>1,578 : 姐 0 | 帽 1 | 芬 2 | 

<unk>3,852 : 掖 0 | 淅 1 | 戛 2 | 

<unk>3,855 : 钰 0 | 淆 1 | 燮 2 | 

<unk>3,858 : 偎 0 | 熹 1 | 孢 2 | 

<unk>465 : 陈 0 | 李 1 | 董 2 | 

<unk>3,639 : 惋 0 | 囿 1 | 吭 2 | 

<unk>3,630 : 抠 0 | 瀛 1 | 姬 2 | 

<unk>3,633 : 胺 0 | 裳 1 | 狸 2 | 

<unk>3,636 : 吭 0 | 潼 1 | 秭 2 | 

<unk>2,061 : 沪 0 | 竣 1 | 帅 2 | 

<unk>2,064 : 酝 0 | 沪 1 | 竣 2 | 

<unk>2,067 : 罐 0 | 瞻 1 | 焰 2 | 

<unk>2,262 : 帅 0 | 瞻 1 | 宠 2 | 

<unk>3,708 : 撩 0 | 篝 1 | 喋 2 | 

<unk>2,265 : 瞻 0 | 咐 1 | 觅 2 | 

<unk>3,705 : 亵 0 | 潼 1 | 秭 2 | 

<unk>2,268 : 巾 0 | 霖 1 | 驿 2 | 

<unk>3,702 : 孢 0 | 熹 1 | 鸫 2 | 

<unk>3,129 : 馁 0 | 髦 1 | 膛 2 | 

<unk>2,667 : 萃 0 | 楠 1 | 媛 2 | 

<unk>2,664 : 鸦 0 | 骆 1 | 朔 2 | 

<unk>2,196 : 夷 0 | 绎 1 | 罐 2 | 

<unk>2,661 : 臃 0 | 坞 1 | 贻 2 | 

<unk>3,120 : 崎 0 | 皱 1 | 沁 2 | 

<unk>2,406 : 蜂 0 | 赃 1 | 冀 2 | 

<unk>195 : 债 0 | 卫 1 | 商 2 | 

<unk>444 : 奔 0 | 宽 1 | 涉 2 | 

<unk>2,403 : 磅 0 | 婉 1 | 刹 2 | 

<unk>192 : 农 0 | 专 1 | 鼓 2 | 

<unk>441 : 路 0 | 洛 1 | 围 2 | 

<unk>4,125 : 楣 0 | 觞 1 | 盹 2 | 

<unk>3,123 : 榴 0 | 跤 1 | 陲 2 | 

<unk>198 : 运 0 | 文 1 | 安 2 | 

<unk>4,122 : 诧 0 | 葩 1 | 轶 2 | 

<unk>2,409 : 驿 0 | 霖 1 | 酱 2 | 

<unk>3,147 : 坞 0 | 陲 1 | 跤 2 | 

<unk>3,144 : 蠢 0 | 岔 1 | 贻 2 | 

<unk>3,141 : 坞 0 | 拌 1 | 陲 2 | 

<unk>228 : 涉 0 | 宽 1 | 落 2 | 

<unk>999 : 赈 0 | 肆 1 | 戏 2 | 

<unk>222 : 忧 0 | 语 1 | 轨 2 | 

<unk>996 : 耗 0 | 揽 1 | 昂 2 | 

<unk>990 : 戏 0 | 宗 1 | 踊 2 | 

<unk>225 : 洛 0 | 西 1 | 贵 2 | 

<unk>2,319 : 攒 0 | 焰 1 | 楠 2 | 

<unk>2,313 : 焰 0 | 眶 1 | 忱 2 | 

<unk>2,310 : 猖 0 | 遂 1 | 冶 2 | 

<unk>2,316 : 霖 0 | 酱 1 | 崎 2 | 

<unk>4,011 : 糠 0 | 荤 1 | 嗅 2 | 

<unk>4,017 : 盹 0 | 稣 1 | 菩 2 | 

<unk>4,014 : 嶙 0 | 糯 1 | 熹 2 | 

<unk>2,082 : 馈 0 | 淀 1 | 芽 2 | 

<unk>2,085 : 竣 0 | 茫 1 | 崭 2 | 

<unk>4,338 : 亳 0 | 酉 1 | 笪 2 | 

<unk>537 : 宽 0 | 遵 1 | 仿 2 | 

<unk>534 : 欢 0 | 宗 1 | 覆 2 | 

<unk>4,335 : 诋 0 | 莒 1 | 腼 2 | 

<unk>4,332 : 胤 0 | 腆 1 | 狞 2 | 

<unk>531 : 专 0 | 课 1 | 遵 2 | 

<unk>1,821 : 彦 0 | 昂 1 | 叉 2 | 

<unk>1,827 : 慨 0 | 叹 1 | 淀 2 | 

<unk>1,824 : 筝 0 | 畴 1 | 叉 2 | 

<unk>4,482 : 菩 0 | 妓 1 | 邕 2 | 

<unk>4,485 : 嗽 0 | 擘 1 | 鲢 2 | 

<unk>1,929 : 缅 0 | 崭 1 | 陪 2 | 

<unk>1,926 : 慷 0 | 缅 1 | 牡 2 | 

<unk>1,923 : 沥 0 | 洽 1 | 愤 2 | 

<unk>1,920 : 勉 0 | 茫 1 | 遂 2 | 

<unk>4,242 : 狞 0 | 俐 1 | 搐 2 | 

<unk>4,245 : 濮 0 | 嶙 1 | 糯 2 | 

<unk>4,248 : 桅 0 | 浣 1 | 龛 2 | 

<unk>1,890 : 懑 0 | 鏊 1 | 幺 2 | 

<unk>1,647 : 滔 0 | 淡 1 | 烦 2 | 

<unk>2,205 : 苋 0 | 鹚 1 | 桀 2 | 

<unk>4,410 : 偬 0 | 茭 1 | 葳 2 | 

<unk>1,722 : 叹 0 | 淀 1 | 叉 2 | 

<unk>1,899 : 饲 0 | 踊 1 | 稽 2 | 

<unk>1,725 : 淀 0 | 揽 1 | 桩 2 | 

<unk>1,728 : 衷 0 | 鹅 1 | 愧 2 | 

<unk>2,625 : 朔 0 | 聂 1 | 缤 2 | 

<unk>4,668 : 镣 0 | 绂 1 | 佞 2 | 

<unk>1,587 : 茫 0 | 缔 1 | 爸 2 | 

<unk>2,895 : 皱 0 | 焉 1 | 颐 2 | 

<unk>1,581 : 饱 0 | 桩 1 | 揽 2 | 

<unk>3,774 : 喋 0 | 潼 1 | 篝 2 | 

<unk>2,898 : 拌 0 | 拴 1 | 刨 2 | 

<unk>4,662 : 诘 0 | 酰 1 | 啜 2 | 

<unk>3,777 : 鸫 0 | 狡 1 | 捺 2 | 

<unk>1,035 : 尊 0 | 妥 1 | 截 2 | 

<unk>1,032 : 嫌 0 | 屏 1 | 灌 2 | 

<unk>3,771 : 糯 0 | 黝 1 | 潼 2 | 

<unk>4,461 : 搐 0 | 烬 1 | 逅 2 | 

<unk>1,038 : 诸 0 | 仿 1 | 陪 2 | 

<unk>4,467 : 逅 0 | 俐 1 | 笪 2 | 

<unk>4,464 : 琏 0 | 碓 1 | 翊 2 | 

<unk>1,218 : 孕 0 | 桩 1 | 躯 2 | 

<unk>1,215 : 翼 0 | 鹅 1 | 躯 2 | 

<unk>3,441 : 囿 0 | 赡 1 | 秭 2 | 

<unk>3,447 : 囿 0 | 琉 1 | 侄 2 | 

<unk>1,212 : 仿 0 | 陪 1 | 昔 2 | 

<unk>3,444 : 珀 0 | 恬 1 | 沁 2 | 

<unk>852 : 偏 0 | 截 1 | 缔 2 | 

<unk>3,846 : 猕 0 | 佟 1 | 翌 2 | 

<unk>1,458 : 炳 0 | 揽 1 | 僚 2 | 

<unk>3,843 : 黝 0 | 篝 1 | 厮 2 | 

<unk>3,840 : 啪 0 | 迤 1 | 囡 2 | 

<unk>1,452 : 寺 0 | 脉 1 | 肆 2 | 

<unk>1,101 : 弹 0 | 灌 1 | 寺 2 | 

<unk>1,104 : 陪 0 | 丈 1 | 霍 2 | 

<unk>3,849 : 篝 0 | 娣 1 | 镛 2 | 

<unk>1,455 : 懂 0 | 截 1 | 琛 2 | 

<unk>3,627 : 剽 0 | 涿 1 | 窨 2 | 

<unk>3,624 : 葩 0 | 鹜 1 | 睬 2 | 

<unk>3,621 : 潼 0 | 镛 1 | 囡 2 | 

<unk>3,939 : 腆 0 | 柩 1 | 浜 2 | 

<unk>3,933 : 佟 0 | 狡 1 | 枇 2 | 

<unk>3,930 : 狡 0 | 佟 1 | 翌 2 | 

<unk>3,936 : 铧 0 | 峋 1 | 翌 2 | 

<unk>2,076 : 枢 0 | 璐 1 | 潢 2 | 

<unk>2,073 : 摒 0 | 栩 1 | 镌 2 | 

<unk>2,070 : 芽 0 | 帘 1 | 楠 2 | 

<unk>2,079 : 杼 0 | 炜 1 | 雯 2 | 

<unk>2,271 : 骆 0 | 缤 1 | 聂 2 | 

<unk>3,711 : 睬 0 | 稣 1 | 峥 2 | 

<unk>3,717 : 鹜 0 | 淇 1 | 腆 2 | 

<unk>2,274 : 暇 0 | 幢 1 | 雯 2 | 

<unk>2,277 : 炜 0 | 湃 1 | 雯 2 | 

<unk>3,714 : 嫱 0 | 嗯 1 | 儡 2 | 

<unk>2,679 : 恤 0 | 谆 1 | 椰 2 | 

<unk>2,676 : 媛 0 | 咐 1 | 忱 2 | 

<unk>2,670 : 媛 0 | 娅 1 | 咐 2 | 

<unk>2,673 : 咐 0 | 觅 1 | 榻 2 | 

<unk>459 : 值 0 | 醒 1 | 楚 2 | 

<unk>1,584 : 磁 0 | 彬 1 | 寺 2 | 

<unk>450 : 册 0 | 昂 1 | 揽 2 | 

<unk>453 : 遵 0 | 课 1 | 宪 2 | 

<unk>456 : 夏 0 | 叫 1 | 慰 2 | 

<unk>2,415 : 聂 0 | 焉 1 | 孵 2 | 

<unk>186 : 约 0 | 头 1 | 触 2 | 

<unk>2,892 : 茜 0 | 侃 1 | 凰 2 | 

<unk>183 : 克 0 | 副 1 | 社 2 | 

<unk>180 : 头 0 | 富 1 | 士 2 | 

<unk>2,418 : 烨 0 | 钺 1 | 藜 2 | 

<unk>189 : 民 0 | 责 1 | 险 2 | 

<unk>3,156 : 刨 0 | 恬 1 | 沁 2 | 

<unk>3,150 : 锄 0 | 贻 1 | 峭 2 | 

<unk>3,153 : 藉 0 | 衅 1 | 莓 2 | 

<unk>3,159 : 桓 0 | 帧 1 | 馁 2 | 

<unk>1,425 : 瓜 0 | 冈 1 | 锡 2 | 

<unk>987 : 阴 0 | 羽 1 | 宪 2 | 

<unk>234 : 演 0 | 核 1 | 班 2 | 

<unk>237 : 绩 0 | 望 1 | 障 2 | 

<unk>984 : 脉 0 | 仲 1 | 肆 2 | 

<unk>231 : 势 0 | 责 1 | 湾 2 | 

<unk>981 : 鹅 0 | 畏 1 | 缔 2 | 

<unk>2,955 : 猴 0 | 氨 1 | 瞄 2 | 

<unk>2,301 : 椰 0 | 孵 1 | 谆 2 | 

<unk>2,304 : 眶 0 | 啸 1 | 忱 2 | 

<unk>2,307 : 楠 0 | 啸 1 | 帘 2 | 

<unk>4,065 : 妓 0 | 珲 1 | 莒 2 | 

<unk>4,062 : 偕 0 | 佟 1 | 妖 2 | 

<unk>2,091 : 蛐 0 | 蜷 1 | 锃 2 | 

<unk>2,094 : 遂 0 | 俺 1 | 邯 2 | 

<unk>4,068 : 楞 0 | 愕 1 | 娑 2 | 

<unk>522 : 险 0 | 湾 1 | 测 2 | 

<unk>4,329 : 俐 0 | 烬 1 | 笪 2 | 

<unk>528 : 慰 0 | 叫 1 | 缔 2 | 

<unk>4,326 : 邕 0 | 珲 1 | ━ 2 | 

<unk>4,320 : 酊 0 | 樨 1 | 仝 2 | 

<unk>4,323 : 灏 0 | 仝 1 | 棰 2 | 

<unk>1,857 : 邯 0 | 俺 1 | 鲍 2 | 

<unk>1,854 : 邯 0 | 冶 1 | 鞠 2 | 

<unk>2,025 : 幛 0 | 奂 1 | 苕 2 | 

<unk>681 : 洋 0 | 藏 1 | 旨 2 | 

<unk>4,497 : 拗 0 | 咣 1 | 赅 2 | 

<unk>4,494 : 钕 0 | 遛 1 | 纰 2 | 

<unk>1,938 : 蟑 0 | 亻 1 | 萤 2 | 

<unk>4,491 : 腈 0 | 萤 1 | 嗯 2 | 

<unk>1,935 : 盗 0 | 蓬 1 | 仲 2 | 

<unk>1,806 : 昂 0 | 叉 1 | 魁 2 | 

<unk>1,932 : 魁 0 | 畴 1 | 叉 2 | 

<unk>4,251 : 龊 0 | 螂 1 | 蚱 2 | 

<unk>3,834 : 偬 0 | 醚 1 | 葳 2 | 

<unk>4,257 : 邈 0 | 鲢 1 | 蕤 2 | 

<unk>2,538 : 迢 0 | 擂 1 | 谆 2 | 

<unk>4,782 : 怂 0 | 洇 1 | 晌 2 | 

<unk>4,785 : 晌 0 | 茭 1 | 翊 2 | 

<unk>1,737 : 纵 0 | 砍 1 | 稍 2 | 

<unk>1,734 : 昔 0 | 爸 1 | 缔 2 | 

<unk>1,731 : 桌 0 | 糖 1 | 漏 2 | 

<unk>1,599 : 缔 0 | 羽 1 | 爸 2 | 

<unk>1,593 : 仲 0 | 敖 1 | 羽 2 | 

<unk>1,590 : 夕 0 | 懂 1 | 爸 2 | 

<unk>1,596 : 蓬 0 | 霍 1 | 芭 2 | 

<unk>1,029 : 回 0 | 某 1 | 截 2 | 

<unk>4,677 : 磬 0 | 鲟 1 | 芥 2 | 

<unk>1,020 : 触 0 | 畏 1 | 睹 2 | 

<unk>1,026 : 伟 0 | 圣 1 | 阵 2 | 

<unk>4,671 : 躏 0 | 翊 1 | 啾 2 | 

<unk>4,479 : 栀 0 | 骡 1 | 酗 2 | 

<unk>4,470 : 颍 0 | 洇 1 | 勐 2 | 

<unk>4,473 : 颍 0 | 铣 1 | 洇 2 | 

<unk>4,476 : 翊 0 | 孑 1 | 朊 2 | 

<unk>1,203 : 覆 0 | 丈 1 | 魏 2 | 

<unk>1,200 : 圣 0 | 霍 1 | 墓 2 | 

<unk>1,206 : 叉 0 | 僚 1 | 畴 2 | 

<unk>3,438 : 蚌 0 | 侮 1 | 恬 2 | 

<unk>1,209 : 宪 0 | 哲 1 | 踊 2 | 

<unk>3,435 : 稣 0 | 珲 1 | 淇 2 | 

<unk>3,432 : 痰 0 | 驹 1 | 梓 2 | 

<unk>1,449 : 丈 0 | 羽 1 | 芭 2 | 

<unk>1,119 : 霍 0 | 阵 1 | 丈 2 | 

<unk>1,440 : 烦 0 | 酿 1 | 柔 2 | 

<unk>1,443 : 帜 0 | 袱 1 | 醒 2 | 

<unk>2,931 : 谆 0 | 沁 1 | 蚊 2 | 

<unk>1,113 : 巧 0 | 桩 1 | 戚 2 | 

<unk>2,937 : 氮 0 | 兽 1 | 吟 2 | 

<unk>2,934 : 勰 0 | 朊 1 | 恿 2 | 

<unk>1,110 : 皇 0 | 漏 1 | 迷 2 | 

<unk>3,381 : 舅 0 | 铿 1 | 粱 2 | 

<unk>3,384 : 恬 0 | 沁 1 | 侄 2 | 

<unk>3,387 : 薹 0 | 胺 1 | 驴 2 | 

<unk>3,543 : 趴 0 | 雌 1 | 拄 2 | 

<unk>3,540 : 袄 0 | 淆 1 | 钰 2 | 

<unk>3,546 : 枇 0 | 剽 1 | 翌 2 | 

<unk>3,894 : 邬 0 | 篝 1 | 菏 2 | 

<unk>3,549 : 囡 0 | 迤 1 | 奚 2 | 

<unk>3,891 : 迤 0 | 镛 1 | 囡 2 | 

<unk>3,948 : 蹭 0 | 阙 1 | 楣 2 | 

<unk>3,945 : 愕 0 | 箫 1 | 珞 2 | 

<unk>3,942 : 娑 0 | 疹 1 | 掖 2 | 

<unk>2,796 : 宠 0 | 朔 1 | 皱 2 | 

<unk>3,096 : 掺 0 | 沁 1 | 蚊 2 | 

<unk>3,765 : 簌 0 | 怅 1 | 迤 2 | 

<unk>3,090 : 沁 0 | 蚊 1 | 孵 2 | 

<unk>2,793 : 逗 0 | 皱 1 | 焉 2 | 

<unk>2,790 : 诀 0 | 炕 1 | 撬 2 | 

<unk>3,093 : 沁 0 | 孵 1 | 刁 2 | 

<unk>3,099 : 坍 0 | 呐 1 | 扒 2 | 

<unk>3,768 : 琶 0 | 迤 1 | 囡 2 | 

<unk>2,799 : 麓 0 | 钮 1 | 榴 2 | 

<unk>2,640 : 孵 0 | 窘 1 | 诠 2 | 

<unk>489 : 扰 0 | 购 1 | 御 2 | 

<unk>2,646 : 榻 0 | 觅 1 | 炜 2 | 

<unk>2,649 : 诠 0 | 窘 1 | 摒 2 | 

<unk>1,107 : 围 0 | 役 1 | 昂 2 | 

<unk>429 : 采 0 | 参 1 | 截 2 | 

<unk>2,421 : 扯 0 | 肾 1 | 屯 2 | 

<unk>426 : 鼓 0 | 特 1 | 认 2 | 

<unk>2,424 : 饥 0 | 沾 1 | 渝 2 | 

<unk>2,427 : 裤 0 | 衫 1 | 硫 2 | 

<unk>3,168 : 侄 0 | 琉 1 | 侮 2 | 

<unk>3,162 : 帧 0 | 膛 1 | 甬 2 | 

<unk>3,165 : 甬 0 | 帧 1 | 侮 2 | 

<unk>3,369 : 镛 0 | 粱 1 | 奚 2 | 

<unk>3,363 : 侮 0 | 侗 1 | 厮 2 | 

<unk>3,360 : 奚 0 | 粱 1 | 娣 2 | 

<unk>3,366 : 铿 0 | 琉 1 | 侗 2 | 

<unk>3,108 : 洮 0 | 蹴 1 | 钺 2 | 

<unk>732 : 淹 0 | 轨 1 | 杂 2 | 

<unk>735 : 湾 0 | 役 1 | 测 2 | 

<unk>738 : 畏 0 | 桩 1 | 阵 2 | 

<unk>2,337 : 觅 0 | 帘 1 | 炜 2 | 

<unk>2,331 : 觅 0 | 帘 1 | 璐 2 | 

<unk>4,074 : 勐 0 | 蓿 1 | 蓦 2 | 

<unk>4,077 : 狰 0 | 莒 1 | 栀 2 | 

<unk>4,071 : 窨 0 | 娣 1 | 峋 2 | 

<unk>555 : 醒 0 | 鹏 1 | 染 2 | 

<unk>885 : 阵 0 | 羽 1 | 振 2 | 

<unk>882 : 树 0 | 汗 1 | 彬 2 | 

<unk>552 : 揽 0 | 歧 1 | 轨 2 | 

<unk>4,317 : 蓿 0 | 挛 1 | 唆 2 | 

<unk>558 : 衣 0 | 菜 1 | 雪 2 | 

<unk>888 : 故 0 | 截 1 | 爸 2 | 

<unk>1,845 : 帷 0 | 爸 1 | 羽 2 | 

<unk>1,842 : 墓 0 | 彬 1 | 烽 2 | 

<unk>1,848 : 敖 0 | 羽 1 | 彬 2 | 

<unk>1,902 : 彬 0 | 枢 1 | 敖 2 | 

<unk>1,905 : 幻 0 | 蜂 1 | 缠 2 | 

<unk>1,908 : 羽 0 | 卒 1 | 敖 2 | 

<unk>4,266 : 珲 0 | 诋 1 | 屉 2 | 

<unk>4,260 : 幺 0 | 缳 1 | 蚤 2 | 

<unk>4,263 : 酉 0 | 莒 1 | 妓 2 | 

<unk>951 : 踊 0 | 稽 1 | 屏 2 | 

<unk>954 : 歧 0 | 末 1 | 袱 2 | 

<unk>4,269 : 瑁 0 | 喱 1 | 蒗 2 | 

<unk>957 : 桩 0 | 睹 1 | 爸 2 | 

<unk>2,982 : 膛 0 | 炜 1 | 酵 2 | 

<unk>495 : 蓄 0 | 洁 1 | 洋 2 | 

<unk>4,683 : 碓 0 | 晌 1 | 苕 2 | 

<unk>4,680 : 榛 0 | 茭 1 | 泔 2 | 

<unk>4,686 : 藁 0 | 啾 1 | 茭 2 | 

<unk>1,059 : 号 0 | 笔 1 | 季 2 | 

<unk>1,056 : 爸 0 | 盼 1 | 幸 2 | 

<unk>4,689 : 莒 0 | ━ 1 | 烬 2 | 

<unk>1,053 : 轨 0 | 睹 1 | 毅 2 | 

<unk>1,050 : 愧 0 | 逢 1 | 盼 2 | 

<unk>1,698 : 苛 0 | 盼 1 | 廖 2 | 

<unk>4,449 : 泔 0 | 莨 1 | 糌 2 | 

<unk>1,692 : 芭 0 | 卒 1 | 屏 2 | 

<unk>4,440 : 莨 0 | 梏 1 | 俾 2 | 

<unk>1,695 : 卒 0 | 枢 1 | 璐 2 | 

<unk>4,443 : 俾 0 | 旖 1 | 昱 2 | 

<unk>1,275 : 廖 0 | 乔 1 | 屏 2 | 

<unk>1,272 : 码 0 | 旁 1 | 茫 2 | 

<unk>3,426 : 岔 0 | 臃 1 | 贻 2 | 

<unk>3,420 : 郴 0 | 邬 1 | 篝 2 | 

<unk>1,278 : 役 0 | 戚 1 | 袱 2 | 

<unk>2,928 : 镌 0 | 栩 1 | 锲 2 | 

<unk>1,479 : 栩 0 | 璐 1 | 盏 2 | 

<unk>1,665 : 蔷 0 | 钽 1 | 煊 2 | 

<unk>1,476 : ─ 0 | 璐 1 | 潢 2 | 

<unk>2,922 : 潢 0 | 湃 1 | 滦 2 | 

<unk>2,925 : 岱 0 | 仑 1 | 翩 2 | 

<unk>1,473 : 袱 0 | 疆 1 | 染 2 | 

<unk>3,396 : 驹 0 | 拌 1 | 拴 2 | 

<unk>1,308 : 季 0 | 逢 1 | 妈 2 | 

<unk>3,393 : 怦 0 | 铱 1 | 厮 2 | 

<unk>3,390 : 厮 0 | 咆 1 | 锲 2 | 

<unk>1,302 : 睹 0 | 戚 1 | 璐 2 | 

<unk>3,399 : 涿 0 | 蚂 1 | 铱 2 | 

<unk>1,305 : 璐 0 | 戚 1 | 雯 2 | 

<unk>3,882 : 粱 0 | 烷 1 | 捺 2 | 

<unk>3,552 : 咆 0 | 铱 1 | 烷 2 | 

<unk>3,555 : 滦 0 | 绮 1 | 炜 2 | 

<unk>3,885 : 捺 0 | 峋 1 | 钺 2 | 

<unk>3,558 : 耄 0 | 蚂 1 | 铱 2 | 

<unk>3,888 : 峋 0 | 屉 1 | 钺 2 | 

<unk>3,954 : 跆 0 | 蜻 1 | 聩 2 | 

<unk>3,957 : ━ 0 | 栀 1 | 浜 2 | 

<unk>3,951 : 屉 0 | 钺 1 | 跚 2 | 

<unk>2,259 : 郅 0 | 蔼 1 | 湃 2 | 

<unk>2,253 : 炜 0 | 酵 1 | 湃 2 | 

<unk>3,081 : 贻 0 | 恤 1 | 拌 2 | 

<unk>2,250 : 斧 0 | 彬 1 | 娅 2 | 

<unk>3,087 : 湃 0 | 酵 1 | 邃 2 | 

<unk>2,256 : 蔼 0 | 窒 1 | 楷 2 | 

<unk>3,084 : 纂 0 | 跤 1 | 炜 2 | 

<unk>2,784 : 蔼 0 | 窒 1 | 徜 2 | 

<unk>2,787 : 邃 0 | 睫 1 | 绮 2 | 

<unk>2,781 : 徜 0 | 蚂 1 | 篑 2 | 

<unk>3,303 : 哉 0 | 坞 1 | 梓 2 | 

<unk>2,655 : 睫 0 | 雯 1 | 袤 2 | 

<unk>2,652 : 缤 0 | 聂 1 | 柑 2 | 

<unk>3,525 : 搂 0 | 檀 1 | 珑 2 | 

<unk>2,658 : 篑 0 | 俨 1 | 菏 2 | 

<unk>2,439 : 篑 0 | 雯 1 | 殚 2 | 

<unk>438 : 疆 0 | 瓦 1 | 士 2 | 

<unk>2,436 : 楷 0 | 乔 1 | 阖 2 | 

<unk>435 : 铁 0 | 防 1 | 卫 2 | 

<unk>2,433 : 雯 0 | 廿 1 | 袤 2 | 

<unk>432 : 均 0 | 请 1 | 妈 2 | 

<unk>2,430 : 鲍 0 | 卒 1 | 敖 2 | 

<unk>702 : 西 0 | 笔 1 | 握 2 | 

<unk>3,177 : 铄 0 | 袤 1 | 阖 2 | 

<unk>3,174 : 岌 0 | 喃 1 | 挟 2 | 

<unk>3,171 : 袤 0 | 殚 1 | 阖 2 | 

<unk>3,378 : 殚 0 | 阖 1 | 钺 2 | 

<unk>3,372 : 阖 0 | 钺 1 | 跚 2 | 

<unk>3,375 : 菏 0 | 阖 1 | 呻 2 | 

<unk>723 : 朋 0 | 乔 1 | 汗 2 | 

<unk>2,322 : 蕉 0 | 浒 1 | 烨 2 | 

<unk>720 : 瓦 0 | 奇 1 | 贝 2 | 

<unk>726 : 测 0 | 染 1 | 械 2 | 

<unk>2,325 : 乔 0 | 洮 1 | 彷 2 | 

<unk>4,041 : 翡 0 | 辫 1 | 釜 2 | 

<unk>729 : 袭 0 | 奇 1 | 杂 2 | 

<unk>2,328 : 廿 0 | 浒 1 | 烨 2 | 

<unk>4,044 : 峥 0 | 翌 1 | 蜻 2 | 

<unk>4,047 : 翌 0 | 峥 1 | 蜻 2 | 

<unk>891 : 戚 0 | 骤 1 | 叫 2 | 

<unk>894 : 杂 0 | 贝 1 | 振 2 | 

<unk>897 : 毅 0 | 铢 1 | 逢 2 | 

<unk>1,878 : 烽 0 | 涅 1 | 枢 2 | 

<unk>546 : 善 0 | 极 1 | 项 2 | 

<unk>4,305 : 骡 0 | 蓦 1 | 酚 2 | 

<unk>543 : 宗 0 | 俱 1 | 稽 2 | 

<unk>4,302 : 浜 0 | 摈 1 | 腼 2 | 

<unk>540 : 责 0 | 士 1 | 卫 2 | 

<unk>1,872 : 铢 0 | 稽 1 | 骤 2 | 

<unk>1,875 : 屏 0 | 稽 1 | 乔 2 | 

<unk>549 : 幕 0 | 乏 1 | 边 2 | 

<unk>4,308 : 猥 0 | 腼 1 | 俳 2 | 

<unk>1,914 : 彷 0 | 钺 1 | 胥 2 | 

<unk>303 : 赞 0 | 欢 1 | 农 2 | 

<unk>2,802 : 锗 0 | 蒗 1 | 饧 2 | 

<unk>1,917 : 魏 0 | 幢 1 | 彷 2 | 

<unk>4,278 : 祢 0 | 啜 1 | 苕 2 | 

<unk>1,911 : 浒 0 | 烨 1 | 稽 2 | 

<unk>4,272 : 腼 0 | 俳 1 | 柩 2 | 

<unk>4,275 : 俳 0 | 腼 1 | 摈 2 | 

<unk>948 : 胞 0 | 钦 1 | 贵 2 | 

<unk>1,404 : 促 0 | 既 1 | 尤 2 | 

<unk>942 : 幢 0 | 振 1 | 骤 2 | 

<unk>945 : 柬 0 | 课 1 | 截 2 | 

<unk>4,371 : 烬 0 | 柩 1 | 摈 2 | 

<unk>4,377 : 糌 0 | 匍 1 | 诽 2 | 

<unk>2,559 : 焉 0 | 孵 1 | 椰 2 | 

<unk>2,412 : 沾 0 | 溜 1 | 跻 2 | 

<unk>1,239 : 茶 0 | 庄 1 | 嫌 2 | 

<unk>4,341 : 昱 0 | 蓦 1 | 戥 2 | 

<unk>4,692 : 昱 0 | 挛 1 | 戥 2 | 

<unk>4,695 : 裟 0 | 笞 1 | 鼾 2 | 

